YEAR,ASSIGNED_STATION,ASSIGNED_STRATUM_ID
2017,501,H11
2017,502,H11
2017,503,H11
2017,504,H11
2017,505,H11
2017,506,H11
2017,507,H11
2017,508,H11
2017,509,H11
2017,510,H11
2017,511,H11
2017,512,H11
2017,513,H11
2017,514,H11
2017,515,H11
2017,516,H11
2017,517,H12
2017,518,H12
2017,519,H12
2017,520,H12
2017,521,H12
2017,522,H12
2017,523,H12
2017,524,H12
2017,525,H12
2017,526,H12
2017,527,H12
2017,528,H13
2017,529,H13
2017,530,H21
2017,531,H21
2017,532,H21
2017,533,H21
2017,534,H21
2017,535,H21
2017,536,H21
2017,537,H21
2017,538,H21
2017,539,H21
2017,540,H21
2017,541,H21
2017,542,H21
2017,543,H21
2017,544,H21
2017,545,H22
2017,546,H22
2017,547,H22
2017,548,H22
2017,549,H22
2017,550,H22
2017,551,H22
2017,552,H23
2017,553,H23
2017,554,H31
2017,555,H31
2017,556,H31
2017,557,H31
2017,558,H31
2017,559,H31
2017,560,H31
2017,561,H31
2017,562,H31
2017,563,H31
2017,564,H31
2017,565,H32
2017,566,H32
2017,567,H32
2017,568,H32
2017,569,H32
2017,570,H33
2017,571,H33
2017,572,H33
2017,573,H33
2017,574,H33
2017,575,H33
2017,576,H33
2017,577,H33
2017,578,H41
2017,579,H41
2017,580,H41
2017,581,H41
2017,582,H41
2017,583,H41
2017,584,H41
2017,585,H41
2017,586,H41
2017,587,H41
2017,588,H41
2017,589,H41
2017,590,H41
2017,591,H42
2017,592,H42
2017,593,H42
2017,594,H42
2017,595,H42
2017,596,H42
2017,597,H42
2017,598,H42
2017,599,H43
2017,600,H43
2017,601,H43
2017,602,H43
2017,603,H43
2017,604,H43
2017,605,H43
2017,606,H43
2017,607,H51
2017,608,H51
2017,609,H51
2017,610,H51
2017,611,H51
2017,612,H51
2017,613,H51
2017,614,H51
2017,615,H51
2017,616,H51
2017,617,H51
2017,618,H51
2017,619,H51
2017,620,H51
2017,621,H51
2017,622,H51
2017,623,H51
2017,624,H51
2017,625,H51
2017,626,H51
2017,627,H51
2017,628,H51
2017,629,H51
2017,630,H51
2017,631,H51
2017,632,H51
2017,633,H51
2017,634,H51
2017,635,H51
2017,636,H51
2017,637,H51
2017,638,H51
2017,639,H51
2017,640,H51
2017,641,H51
2017,642,H51
2017,643,H51
2017,644,H51
2017,645,H51
2017,646,H52
2017,647,H52
2017,648,H53
2017,649,H53
2017,650,H53
2018,501,H11
2018,502,H11
2018,503,H11
2018,504,H11
2018,505,H11
2018,506,H11
2018,507,H11
2018,508,H11
2018,509,H11
2018,510,H11
2018,511,H11
2018,512,H11
2018,513,H11
2018,514,H11
2018,515,H11
2018,516,H11
2018,517,H12
2018,518,H12
2018,519,H12
2018,520,H12
2018,521,H12
2018,522,H12
2018,523,H12
2018,524,H12
2018,525,H12
2018,526,H12
2018,527,H12
2018,528,H13
2018,529,H13
2018,530,H21
2018,531,H21
2018,532,H21
2018,533,H21
2018,534,H21
2018,535,H21
2018,536,H21
2018,537,H21
2018,538,H21
2018,539,H21
2018,540,H21
2018,541,H21
2018,542,H21
2018,543,H21
2018,544,H21
2018,545,H22
2018,546,H22
2018,547,H22
2018,548,H22
2018,549,H22
2018,550,H22
2018,551,H22
2018,552,H23
2018,553,H23
2018,554,H31
2018,555,H31
2018,556,H31
2018,557,H31
2018,558,H31
2018,559,H31
2018,560,H31
