Catch Year,Species Code,Species Name,Gear Code,Gear Name,SMA,NAFO Division,Quota,Quota Name,Unit Wt.,Qta Amt,Landed RW,Number of Animals,Landed Value,Discard Dead,Dumped Round,Discard Alive,# of Fishers,# of Vessels,# of Buyers,# of Trips
1999,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3O,11179,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,4,0.04,0,218.78,0,0,0,1,1,1,1
1999,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,11179,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,4,1.33,0,7531.48,0,0,0,3,3,2,10
1999,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,12303,3Ps Atlantic Halibut >100',Tonnes,0,2.87,0,17606.63,0,0,0,2,4,2,10
1999,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,23093,3Ps Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,0.77,0,4058.45,0,0,0,1,1,4,6
1999,130,Halibut,15,Midwater Trawl (stern),3N,3N,12246,3N Atlantic Halibut >100',Tonnes,0,0.05,0,236.5,0.01,0,0,1,7,1,26
1999,130,Halibut,15,Midwater Trawl (stern),3O,3O,12297,3O Atlantic Halibut >100',Tonnes,0,1.05,0,5302.01,0,0,0,1,5,1,9
1999,130,Halibut,15,Midwater Trawl (stern),3PS,3PS,12303,3Ps Atlantic Halibut >100',Tonnes,0,0.42,0,2641.49,0.01,0,0,2,7,2,8
1999,130,Halibut,41,Gill Net (Set or Fixed),3O,3N,11663,3O Atlantic Halibut Fixed Gear < 65',Tonnes,0,0.08,0,415.56,0,0,0,1,1,2,1
1999,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,11663,3O Atlantic Halibut Fixed Gear < 65',Tonnes,0,17.2,0,88240.38,0.12,0,0,31,30,14,39
1999,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,12297,3O Atlantic Halibut >100',Tonnes,0,22.32,0,112913.43,0.33,0,0,3,2,1,6
