Model-estimated Biomass,LRP,USR,BMSY,1.2 BMSY,Catachability q
Spawning Stock Biomass (SSB),5.3 kt,10.6 kt,13.3 kt,16.0 kt,
Halibut Survey Biomass (B),10.9 kt,21.8 kt,27.3 kt,32.8 kt,0.002
