Year,CatchAss
1970,1529
1971,1605
1972,1360
1973,1274
1974,1176
1975,1080
1976,1104
1977,1328
1978,1450
1979,1665
1980,1766
1981,1655
1982,2262
1983,2297
1984,3082
1985,4043
1986,3412
1987,2658
1988,2402
1989,2052
1990,2295
1991,2186
1992,1469
1993,1320
1994,1159
1995,853
1996,875
1997,1105
1998,1011
1999,1051
2000,953
2001,1449
2002,1493
2003,736
2004,1465
2005,1336
2006,1395
2007,1562
2008,302
2009,758
2010,1887
